Age,Gender,Marital_Status,Department,Job_Role,Job_Level,Monthly_Income,Hourly_Rate,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Work_Life_Balance,Job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Overtime,Project_Count,Average_Hours_Worked_Per_Week,Absenteeism,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Attrition
1.62647711,-0.86043207,0.107308958,0.150266256,1.484791158,-1.440587041,0.813338745,-1.257797818,0.008209768,-0.875009989,-0.754189269,-1.304489412,-0.0453433,1.554293264,-1.287838428,-0.781488916,0.541932867,1.143546628,1.345086706,1.536011617,1.560709866,1.560671319,-0.288146071,0.632343664,0
0.723219031,-0.86043207,0.107308958,1.622966363,-0.398188716,1.614832614,0.325254854,-1.257797818,-1.155345555,0.457384117,-1.11135569,-0.350099774,-1.531137883,-1.243779626,-1.587689344,1.27960868,-1.146856971,0.021219502,-1.55133631,1.536011617,-1.329097671,-0.315141115,0.087314185,-0.32353837,0
-0.541342281,1.162206796,0.107308958,0.886616309,-0.398188716,-1.440587041,0.459989511,-1.428696694,1.171765091,1.789778223,1.38880926,0.604289863,-0.788240591,-1.243779626,1.073487541,1.27960868,0.541932867,-1.350513653,-1.370309871,0.602898942,1.560709866,1.560671319,1.589155209,0.632343664,0
-1.173622936,-0.86043207,-1.181988297,0.886616309,1.484791158,-1.440587041,-0.945100478,-1.343247256,-0.638209856,0.190905296,-0.754189269,0.604289863,1.440451283,1.554293264,0.024009333,-0.781488916,1.808525246,0.395328544,1.526113144,-0.330213733,0.597440687,-1.253047332,0.838234697,0.632343664,0
0.000612567,1.162206796,-1.181988297,0.886616309,0.543301221,-1.440587041,-0.256839383,-0.23240456,1.818184715,0.723862938,-1.11135569,-0.350099774,1.440451283,-1.243779626,0.586229802,-0.781488916,-0.724659511,-1.475216667,-1.732362748,1.536011617,-1.329097671,0.622765102,1.514063157,0.632343664,0
1.62647711,1.162206796,-1.181988297,-1.32243385,-0.398188716,0.087122786,1.068220246,-0.403303436,0.008209768,0.457384117,-0.397022847,1.5586795,-0.788240591,0.6216023,0.661192531,-0.781488916,1.808525246,-1.225810639,-0.103124802,-0.330213733,-0.365828492,0.622765102,0.012222134,-1.279420405,0
-0.180039049,1.162206796,-1.181988297,-0.586083797,-1.339678653,-1.440587041,1.523886776,-0.104230403,1.818184715,-1.674446452,-1.11135569,1.5586795,1.440451283,-1.243779626,-0.200878855,-0.781488916,-1.146856971,1.268249643,0.620980952,-1.263326408,-1.329097671,0.622765102,1.213694953,-0.32353837,0
0.181264183,-0.86043207,-1.181988297,0.886616309,1.484791158,0.087122786,1.531991116,-1.428696694,-1.413913404,0.457384117,-1.468522111,0.604289863,-0.788240591,0.6216023,-0.688136594,-0.781488916,0.119735408,0.145922516,0.439954513,1.536011617,-0.365828492,1.560671319,-0.813790429,-1.279420405,0
-0.902645512,1.162206796,0.107308958,0.150266256,-1.339678653,1.614832614,0.647807596,-1.129623661,0.396061543,-1.14148881,0.317309996,1.5586795,-1.531137883,-1.243779626,-0.238360219,1.27960868,-1.146856971,-1.101107625,-0.284151241,0.602898942,1.560709866,-0.315141115,1.814431362,0.632343664,0
-0.902645512,1.162206796,0.107308958,0.886616309,-1.339678653,0.087122786,0.959622087,-1.129623661,0.396061543,0.99034176,1.745975682,0.604289863,-1.531137883,-0.311088663,1.036006177,-0.781488916,0.964130327,1.018843614,-0.827230556,0.602898942,0.597440687,1.560671319,1.138602902,-0.32353837,0
